sample	circularity
196 plvx nt	0.73499999999999999
196 plvx nt	0.98199999999999998
196 plvx nt	0.61499999999999998998
196 plvx nt	0.752
196 plvx nt	0.75900000000000001
196 plvx nt	0.52
196 plvx nt	0.81100000000000005
196 plvx nt	0.628
196 plvx nt	0.76600000000000001
196 plvx nt	0.66200000000000003
196 plvx nt	0.66800000000000004
196 plvx nt	0.77800000000000001999
196 plvx nt	0.71199999999999996999
196 plvx nt	0.64
196 plvx nt	0.71899999999999997
196 plvx nt	0.76100000000000001
196 plvx nt	0.79300000000000004
196 plvx nt	0.75800000000000001
196 plvx nt	0.68799999999999994
196 plvx nt	0.40200000000000002
196 plvx nt	0.65500000000000003
196 plvx nt	0.621
196 plvx nt	0.72399999999999998
196 plvx nt	0.68400000000000005
196 plvx nt	0.77700000000000002
196 plvx nt	0.38100000000000001
196 plvx nt	0.78500000000000003
196 plvx nt	0.65500000000000003
196 plvx nt	0.56000000000000005
196 plvx nt	0.52300000000000002
196 plvx nt	0.84399999999999997
196 plvx nt	0.317
196 plvx nt	0.98
196 plvx nt	0.80800000000000005
196 plvx nt	0.57699999999999996
196 plvx nt	0.8
196 plvx nt	0.66900000000000004
196 plvx nt	0.69199999999999995
196 plvx nt	0.32800000000000001
196 plvx nt	0.85699999999999998
196 plvx nt	0.51
196 plvx nt	0.30199999999999999
196 plvx nt	0.41499999999999998
196 plvx nt	0.52300000000000002
196 plvx nt	0.76800000000000002
196 plvx nt	0.45100000000000001
196 plvx nt	0.66700000000000004
196 plvx nt	0.75
196 plvx nt	0.25600000000000001
196 plvx nt	0.77600000000000002
196 plvx nt	0.53300000000000003
196 plvx nt	0.78100000000000003
196 plvx nt	0.54100000000000004
196 plvx nt	0.49199999999999999
196 plvx nt	0.67
196 plvx nt	0.60199999999999998
196 plvx nt	0.78300000000000003
196 plvx nt	0.41599999999999998001
196 plvx nt	0.73799999999999999
196 plvx nt	0.81899999999999995
196 plvx nt	0.46899999999999997
196 plvx nt	0.45500000000000002
196 plvx nt	0.52300000000000002
196 plvx nt	0.63700000000000001
196 plvx nt	0.7
196 plvx nt	0.84899999999999998
196 plvx nt	0.72
196 plvx nt	0.56000000000000005
196 plvx nt	0.42
196 plvx nt	0.53700000000000003
196 plvx nt	0.32500000000000001
196 plvx nt	0.76800000000000002
196 plvx nt	0.91900000000000004
196 plvx nt	0.86699999999999999
196 plvx nt	0.47799999999999998
196 plvx nt	0.79900000000000004
196 plvx nt	0.73899999999999999
196 plvx nt	0.70599999999999996
196 plvx nt	0.41799999999999998
196 plvx nt	0.55600000000000005
196 plvx nt	0.66100000000000003
196 plvx nt	0.78
196 plvx nt	0.76900000000000002002
196 plvx nt	0.71799999999999997
196 plvx nt	0.59299999999999997
196 plvx nt	0.67500000000000004
196 plvx nt	0.71099999999999997
196 plvx nt	0.23400000000000001
196 plvx nt	0.78900000000000003
196 plvx nt	0.93200000000000005
196 plvx nt	0.66300000000000003001
196 plvx nt	0.72899999999999998
196 plvx nt	0.95899999999999996
196 plvx nt	0.72699999999999998
196 plvx nt	0.90600000000000003
196 plvx nt	0.92
196 plvx nt	0.96399999999999997
196 plvx nt	0.91100000000000003
196 plvx nt	0.89900000000000002
196 plvx nt	0.72099999999999997
196 plvx nt	0.92900000000000005
196 plvx nt	0.7
196 plvx nt	0.82299999999999995002
196 plvx nt	0.88400000000000001
196 plvx nt	0.38600000000000001
196 plvx nt	0.67500000000000004
196 plvx nt	0.65900000000000003
196 plvx nt	0.72399999999999998
196 plvx nt	0.68100000000000005
196 plvx sn38	0.70299999999999995999
196 plvx sn38	0.72299999999999998
196 plvx sn38	0.255
196 plvx sn38	0.53900000000000003
196 plvx sn38	0.64700000000000002
196 plvx sn38	0.35599999999999998
196 plvx sn38	0.63200000000000001
196 plvx sn38	0.90800000000000003
196 plvx sn38	0.84899999999999998
196 plvx sn38	0.33900000000000002
196 plvx sn38	0.501
196 plvx sn38	0.31
196 plvx sn38	0.29899999999999999
196 plvx sn38	0.82899999999999996
196 plvx sn38	0.72299999999999998
196 plvx sn38	0.88900000000000001
196 plvx sn38	0.91400000000000003
196 plvx sn38	0.77600000000000002
196 plvx sn38	0.77500000000000002
196 plvx sn38	0.52400000000000002
196 plvx sn38	0.51800000000000002
196 plvx sn38	0.74399999999999999
196 plvx sn38	0.221
196 plvx sn38	0.22800000000000001
196 plvx sn38	0.40600000000000003
196 plvx sn38	0.40400000000000003
196 plvx sn38	0.42
196 plvx sn38	0.436
196 plvx sn38	0.68
196 plvx sn38	0.85199999999999998
196 plvx sn38	0.36
196 plvx sn38	0.72199999999999998001
196 plvx sn38	0.76100000000000001
196 plvx sn38	0.19400000000000001
196 plvx sn38	0.33700000000000002
196 plvx sn38	0.58399999999999996
196 plvx sn38	0.28399999999999997
196 plvx sn38	0.45500000000000002
196 plvx sn38	0.32300000000000001
196 plvx sn38	0.80100000000000005
196 plvx sn38	0.623
196 plvx sn38	0.93
196 plvx sn38	0.317
196 plvx sn38	0.54700000000000004001
196 plvx sn38	0.26100000000000001
196 plvx sn38	0.67500000000000004
196 plvx sn38	0.78800000000000003001
196 plvx sn38	0.64300000000000002
196 plvx sn38	0.92300000000000004
196 plvx sn38	0.90400000000000003
196 plvx sn38	0.91900000000000004
196 plvx sn38	0.33700000000000002
196 plvx sn38	0.253
196 plvx sn38	0.27700000000000002
196 plvx sn38	0.49399999999999999
196 plvx sn38	0.91200000000000003
196 plvx sn38	0.63
196 plvx sn38	0.30399999999999999
196 plvx sn38	0.14399999999999999
196 plvx sn38	0.502
