sample	circularity
729 plvx nt	0.902
729 plvx nt	0.725
729 plvx nt	0.751
729 plvx nt	0.692
729 plvx nt	0.746
729 plvx nt	0.708
729 plvx nt	0.701
729 plvx nt	0.829
729 plvx nt	0.936
729 plvx nt	0.837
729 plvx nt	0.871
729 plvx nt	0.606
729 plvx nt	0.91
729 plvx nt	0.792
729 plvx nt	0.942
729 plvx nt	0.76
729 plvx nt	0.576
729 plvx nt	0.87
729 plvx nt	0.859
729 plvx sn38	0.475
729 plvx sn38	0.524
729 plvx sn38	0.806
729 plvx sn38	0.797
729 plvx sn38	0.701
729 plvx sn38	0.471
729 plvx sn38	0.442
729 plvx sn38	0.685
729 plvx sn38	0.466
729 plvx sn38	0.858
729 plvx sn38	0.735
729 plvx sn38	0.363
729 plvx sn38	0.508
729 plvx sn38	0.387
729 plvx sn38	0.585
729 plvx sn38	0.938
729 plvx sn38	0.33
729 plvx sn38	0.284
729 plvx sn38	0.323
729 plvx sn38	0.625
729 plvx sn38	0.791
729 prad51 nt	0.793
729 prad51 nt	0.72
729 prad51 nt	0.962
729 prad51 nt	0.382
729 prad51 nt	0.651
729 prad51 nt	0.477
729 prad51 nt	0.847
729 prad51 nt	0.676
729 prad51 nt	0.584
729 prad51 nt	0.493
729 prad51 nt	0.841
729 prad51 nt	0.872
729 prad51 nt	0.849
729 prad51 nt	0.987
729 prad51 nt	0.687
729 prad51 nt	0.861
729 prad51 nt	0.828
729 prad51 nt	0.79
729 prad51 nt	0.828
729 prad51 nt	0.862
729 prad51 nt	0.944
729 prad51 sn38	0.761
729 prad51 sn38	0.811
729 prad51 sn38	0.941
729 prad51 sn38	0.694
729 prad51 sn38	0.872
729 prad51 sn38	0.751
729 prad51 sn38	0.69
729 prad51 sn38	0.597
729 prad51 sn38	0.751
729 prad51 sn38	0.667
729 prad51 sn38	0.635
729 prad51 sn38	0.599
729 prad51 sn38	0.918
729 prad51 sn38	0.747
729 prad51 sn38	0.926
729 prad51 sn38	0.856
729 prad51 sn38	0.644
729 prad51 sn38	0.844
729 prad51 sn38	0.898
729 prad51 sn38	0.697
729 prad51 sn38	0.782
729 prad51 sn38	0.696
729 prad51 sn38	0.659
729 prad51 sn38	0.772
729 prad51 sn38	0.915
729 prad51 sn38	0.583
729 prad51 sn38	0.905
729 prad51 sn38	0.453
729 prad51 sn38	0.388
729 prad51 sn38	0.864
729 prad51 sn38	0.333
